spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
1	    0.000000000	    0.499983295	   -0.999966593	    0.312505328	   -0.312505328	   -0.499983298	   -0.499983298	True
1	    0.000000000	    7.464394023	  -17.145240090	    4.061826142	   -1.848912937	   -7.467932862	   -7.467932862	True
0	    0.000000000	   14.650203883	  -33.696121331	    7.210940891	   -2.820562756	  -14.655539313	  -14.655539313	True
1	    0.000000000	   24.600620431	  -56.939076106	   11.640011544	   -3.921988031	  -24.620432161	  -24.620432161	True
2	    0.000000000	   37.781294897	  -88.156221051	   17.843732603	   -5.276865542	  -37.808059094	  -37.808059094	True
3	    0.000000000	   54.514258580	 -128.336523762	   26.134847221	   -6.861169098	  -54.548587060	  -54.548587060	True
2	    0.000000000	   74.977762523	 -178.015404975	   36.584534775	   -8.565660118	  -75.018767795	  -75.018767795	True
1	    0.000000000	   99.629425680	 -238.568916122	   49.760477017	  -10.498076657	  -99.677090082	  -99.677090082	True
1	    0.000000000	  161.700229978	 -389.191771458	   79.747827590	  -14.275711262	 -162.019425152	 -162.019425152	True
0	    0.000000000	  199.491792141	 -478.634815440	   95.667723277	  -16.348886974	 -199.824186996	 -199.824186996	True
1	    0.000000000	  241.848545946	 -578.233966314	  112.766153995	  -18.503614177	 -242.122880549	 -242.122880549	True
2	    0.000000000	  288.879985613	 -689.207173454	  131.981380067	  -20.793068566	 -289.138876340	 -289.138876340	True
3	    0.000000000	  340.808268514	 -812.064621220	  153.430320977	  -23.213677315	 -341.039709044	 -341.039709044	True
2	    0.000000000	  397.652033159	 -946.766977091	  176.923647521	  -25.689281091	 -397.880577502	 -397.880577502	True
1	    0.000000000	  459.639117074	-1094.194057703	  202.938985547	  -28.290579410	 -459.906534492	 -459.906534492	True
0	    0.000000000	  526.986736763	-1254.862185747	  231.620235197	  -31.032893075	 -527.288106863	 -527.288106863	True
0	    0.000000000	    2.901865982	   -6.751533387	    2.048343409	   -1.101148242	   -2.902472239	   -2.902472239	True
0	    0.000000000	  128.807146915	 -310.976183331	   65.966223163	  -12.665295285	 -128.868108538	 -128.868108538	True
