spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
1	0.0	0.4969454676680274	-0.9963089307523356	0.3082911486944061	-0.30854334620818874	-0.4996156605980908	-0.4996156605980908	True
1	0.0	7.416812782726719	-17.129642499678628	4.053222212281529	-1.8023119051668974	-7.461919409837273	-7.461919409837273	True
0	0.0	14.553809852714346	-33.64088426565531	7.18135287770614	-2.7225235638975294	-14.628245099132346	-14.628245099132346	True
1	0.0	24.518444994836074	-56.90895693963184	11.619238086477708	-3.8388743289043816	-24.610148187222435	-24.610148187222435	True
2	0.0	37.68089740759021	-88.13217844587079	17.819746910108687	-5.164515934067938	-37.796050062239836	-37.796050062239836	True
3	0.0	54.38770115553311	-128.30444349312677	26.098868578554953	-6.714363221282739	-54.532236980321414	-54.532236980321414	True
2	0.0	74.80025704968092	-177.96306785953993	36.53063666577196	-8.378518203506918	-75.01069234759389	-75.01069234759389	True
1	0.0	99.39303567105578	-238.47866838152146	49.67532174329185	-10.260177864557306	-99.67048883173126	-99.67048883173126	True
1	0.0	161.41026884934047	-389.08782078970034	79.80168342783264	-14.28460937886805	-162.16047789139506	-162.16047789139506	True
0	0.0	199.16527107848077	-478.52250797616864	95.71249128217046	-16.298235099650384	-199.94298071516806	-199.94298071516806	True
1	0.0	241.75806561210527	-578.4461839677213	112.8779342734917	-18.417490530354467	-242.22767461247858	-242.22767461247858	True
2	0.0	288.6108937455553	-689.2334111403317	132.05045621767573	-20.65090911282007	-289.222970289921	-289.222970289921	True
3	0.0	340.49104675850714	-812.0533857877708	153.47458492901828	-23.015430209895964	-341.10318431014184	-341.10318431014184	True
2	0.0	397.3348698247134	-946.7825374471248	176.9522817894002	-25.44371417259889	-397.93910000561027	-397.93910000561027	True
1	0.0	459.3723360763948	-1094.3118360678052	202.98076386881525	-28.000590746967518	-459.959326869563	-459.959326869563	True
0	0.0	526.7590188810664	-1255.054798961119	231.65752056092072	-30.690867752329716	-527.3291272714622	-527.3291272714622	True
0	0.0	2.8617169749357902	-6.7379531021920425	2.0348154412211965	-1.0491544682315443	-2.890575154266599	-2.890575154266599	True
0	0.0	128.5070120356405	-310.8235085493897	65.83190719035895	-12.37490287115372	-128.85949219454395	-128.85949219454395	True
