spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
0	0.968007093	8.040344499	-20.38838977	5.593184239	-2.272481867	-9.027342903	-8.05933581	TRUE
1	1.569944331	15.22371766	-37.93971919	9.143496338	-3.23287499	-16.80538018	-15.23543585	TRUE
1	2.833562333	38.40982168	-94.93542889	20.94854701	-5.698106602	-41.2751668	-38.44160447	TRUE
2	6.163971214	39.07705107	-102.8975822	24.7193245	-6.174673793	-45.2758804	-39.11190919	TRUE
0	6.0331124	39.05835167	-102.5280296	24.47995304	-6.139486599	-45.12921147	-39.09609907	TRUE
1	9.682545747	39.75336533	-111.226158	28.60454528	-6.61249959	-49.48074698	-39.79820124	TRUE
0	13.43952789	40.42011425	-120.0407941	32.75862213	-7.055094975	-53.91715272	-40.47762483	TRUE
2	3.563722883	55.13680477	-136.5852001	29.98152419	-7.276783259	-58.74365445	-55.17993156	TRUE
1	7.534438577	55.78108956	-145.7327237	34.29739375	-7.718035648	-63.372276	-55.83783742	TRUE
0	11.90452897	56.44670501	-155.7677467	39.078617	-8.183845951	-68.42627065	-56.52174168	TRUE
1	4.323917276	75.6248875	-187.9661866	41.34203534	-9.013264652	-80.01252842	-75.68861115	TRUE
0	9.088293769	76.29523459	-198.8657227	46.58404496	-9.490518823	-85.47696195	-76.38866818	TRUE
0	5.099733158	100.3139865	-250.3667308	55.53999544	-10.98887898	-105.5016278	-100.4018947	TRUE
0	9.998197131	290.116659	-711.6353402	142.7510761	-21.61344448	-300.3810496	-290.3828524	TRUE
2	10.21209457	290.0832647	-711.9268502	142.8901151	-21.60826464	-300.561735	-290.3496404	TRUE
1	15.63535846	290.7224929	-724.0714078	148.7408761	-22.02809325	-306.636132	-291.0007735	TRUE
0	21.29536612	291.3651032	-736.6959829	154.8360262	-22.45518328	-312.9500368	-291.6546706	TRUE
1	11.444334	342.0424478	-837.3394346	165.5869139	-24.017774	-353.7278469	-342.2835129	TRUE
0	17.59905716	342.6755767	-850.9186237	172.1590669	-24.43770885	-360.521689	-342.9226318	TRUE
0	12.91370813	398.9276493	-975.2451739	190.7579594	-26.52629185	-412.085857	-399.1721489	TRUE
0	7.028255631	460.2994274	-1109.760109	210.5789056	-28.72402684	-467.6058031	-460.5775475	TRUE
0	1.717451082	14.95199119	-37.88553498	9.990197288	-3.748114392	-16.6914609	-14.97400981	TRUE
0	9.120134235	107.3143989	-276.2689741	65.09546945	-12.62406963	-116.4831753	-107.3630411	TRUE
0	0	0	0	0	0	0	-77.26050848	FALSE
0	0	0	0	0	0	0	-78.51422073	FALSE
0	0	0	0	0	0	0	-79.75214011	FALSE
1	0	0	0	0	0	0	-92.63669355	FALSE
0	0	0	0	0	0	0	-93.35145663	FALSE
0	0	0	0	0	0	0	-113.2368168	FALSE
1	0	0	0	0	0	0	-113.7689768	FALSE
0	0	0	0	0	0	0	-114.4211801	FALSE
0	0	0	0	0	0	0	-115.6433494	FALSE
0	0	0	0	0	0	0	-109.4534156	FALSE
0	0	0	0	0	0	0	-111.7916041	FALSE
1	0	0	0	0	0	0	-129.8061876	FALSE
2	27.181811796628452	149.99895398222398	-409.67373892145497	99.50180097264169	-17.23302348230351	-177.40600741214877	-150.2241956155203	TRUE
0	0	0	0	0	0	0	-151.4622367	FALSE
0	0	0	0	0	0	0	-199.4130404	FALSE
0	0	0	0	0	0	0	-188.4619574	FALSE
0	0	0	0	0	0	0	-324.068332	FALSE
2	0	0	0	0	0	0	-578.3919254	FALSE
0	0	0	0	0	0	0	-682.2584929	FALSE
2	0	0	0	0	0	0	-795.9223142	FALSE
0	0	0	0	0	0	0	-919.9054267	FALSE
0	0	0	0	0	0	0	-622.0823736	FALSE
0	0	0	0	0	0	0	-364.4585869	FALSE
0	0	0	0	0	0	0	-435.959451	FALSE
2	0	0	0	0	0	0	-473.0944772	FALSE
1	0	0	0	0	0	0	-535.0247385	FALSE
0	0	0	0	0	0	0	-559.6806188	FALSE
0	0	0	0	0	0	0	-582.1279088	FALSE
0	0	0	0	0	0	0	-499.8450442	FALSE
0	0	0	0	0	0	0	-438.4442344	FALSE
0	0	0	0	0	0	0	-535.686987	FALSE
0	0	0	0	0	0	0	-548.3195872	FALSE
0	0	0	0	0	0	0	-324.397942	FALSE
0	0	0	0	0	0	0	-1404.859036	FALSE
0	0	0	0	0	0	0	-541.8330219	FALSE
0	0	0	0	0	0	0	-1622.337704	FALSE
0	0	0	0	0	0	0	-437.2752831	FALSE
0	0	0	0	0	0	0	-1877.936121	FALSE
0	0	0	0	0	0	0	-511.2375519	FALSE
0	0	0	0	0	0	0	-834.0113519	FALSE
0	0	0	0	0	0	0	-312.8463917	FALSE
0	0	0	0	0	0	0	-688.7559643	FALSE
0	0	0	0	0	0	0	-2129.380879	FALSE
0	0	0	0	0	0	0	-184.5366602	FALSE
0	0	0	0	0	0	0	-589.7710285	FALSE
0	0	0	0	0	0	0	-353.9011971	FALSE
0	0	0	0	0	0	0	-640.6428301	FALSE
0	0	0	0	0	0	0	-225.279533	FALSE
0	0	0	0	0	0	0	-274.516086	FALSE
0	0	0	0	0	0	0	-759.1343834	FALSE
0	0	0	0	0	0	0	-475.2596411	FALSE
0	0	0	0	0	0	0	-1915.993851	FALSE
0	0	0	0	0	0	0	-430.2119793	FALSE
0	0	0	0	0	0	0	-116.5469757	FALSE
0	0	0	0	0	0	0	-116.5451715	FALSE
0	0	0	0	0	0	0	-116.5106011	FALSE
0	0	0	0	0	0	0	-117.7964748	FALSE
0	0	0	0	0	0	0	-117.785172	FALSE
0	0	0	0	0	0	0	-119.0302521	FALSE
0	0	0	0	0	0	0	-155.8459396	FALSE
0	0	0	0	0	0	0	-155.8319811	FALSE
0	0	0	0	0	0	0	-155.8157898	FALSE
0	0	0	0	0	0	0	-155.8053591	FALSE
0	0	0	0	0	0	0	-155.828488	FALSE
0	0	0	0	0	0	0	-157.066717	FALSE
0	0	0	0	0	0	0	-157.0799657	FALSE
0	0	0	0	0	0	0	-158.3085216	FALSE
0	0	0	0	0	0	0	-158.3110968	FALSE
0	0	0	0	0	0	0	-195.0909654	FALSE
0	0	0	0	0	0	0	-232.0176038	FALSE
0	0	0	0	0	0	0	-238.8578277	FALSE
0	0	0	0	0	0	0	-338.0685488	FALSE
0	0	0	0	0	0	0	-959.2126389	FALSE
0	0	0	0	0	0	0	-1418.577315	FALSE
0	0	0	0	0	0	0	-95.78265181	FALSE
0	0	0	0	0	0	0	-132.6429162	FALSE
0	0	0	0	0	0	0	-244.8456745	FALSE
0	0	0	0	0	0	0	-244.8413155	FALSE
0	0	0	0	0	0	0	-330.9475626	FALSE
0	0	0	0	0	0	0	-189.6411136	FALSE
0	0	0	0	0	0	0	-228.903394	FALSE
0	0	0	0	0	0	0	-209.0632511	FALSE
0	0	0	0	0	0	0	-133.8107983	FALSE
0	0	0	0	0	0	0	-185.5043602	FALSE
0	0	0	0	0	0	0	-135.0502788	FALSE
0	0	0	0	0	0	0	-135.0633883	FALSE
0	0	0	0	0	0	0	-152.4814885	FALSE
0	0	0	0	0	0	0	-153.6711266	FALSE
0	0	0	0	0	0	0	-153.7123913	FALSE
0	0	0	0	0	0	0	-227.6603604	FALSE
0	0	0	0	0	0	0	-154.9260531	FALSE
0	0	0	0	0	0	0	-154.9061942	FALSE
0	0	0	0	0	0	0	-476.493331	FALSE
0	0	0	0	0	0	0	-552.876127	FALSE
0	0	0	0	0	0	0	-477.7231889	FALSE
0	0	0	0	0	0	0	-477.7206929	FALSE
0	0	0	0	0	0	0	-177.7058466	FALSE
0	0	0	0	0	0	0	-539.1266641	FALSE
0	0	0	0	0	0	0	-537.8890097	FALSE
0	0	0	0	0	0	0	-170.6840651	FALSE
0	0	0	0	0	0	0	-193.0014563	FALSE
0	0	0	0	0	0	0	-228.9305633	FALSE
0	0	0	0	0	0	0	-252.9347072	FALSE
0	0	0	0	0	0	0	-613.1047323	FALSE
0	0	0	0	0	0	0	-578.4050852	FALSE
0	0	0	0	0	0	0	-194.2101708	FALSE
0	0	0	0	0	0	0	-194.1892229	FALSE
0	0	0	0	0	0	0	-174.322798	FALSE
0	0	0	0	0	0	0	-229.8346151	FALSE
0	0	0	0	0	0	0	-552.6485037	FALSE
0	0	0	0	0	0	0	-209.9883309	FALSE
0	0	0	0	0	0	0	-248.0614943	FALSE
0	0.7178535240637794	1.1777906182161486	-3.6586052272200402	1.3252382871154051	-0.7361471407362633	-1.8917234584325096	-1.1738699343687302	TRUE
1	0	0	0	0	0	0	-398.519385	FALSE
1	0	0	0	0	0	0	-76.53558904	FALSE
1	0	0	0	0	0	0	-77.82485645	FALSE
1	0	0	0	0	0	0	-153.0598597	FALSE
1	0	0	0	0	0	0	-114.9780449	FALSE
1	0	0	0	0	0	0	-114.9631147	FALSE
1	0	0	0	0	0	0	-154.2446929	FALSE
1	0	0	0	0	0	0	-437.7970733	FALSE
1	0	0	0	0	0	0	-79.07833992	FALSE
1	0	0	0	0	0	0	-118.3605908	FALSE
