spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
0	0.9680070931463416	7.959636343054618	-20.346589382350007	5.554861027753132	-2.1816252359888493	-9.013717247531112	-8.04571015438477	True
1	1.5699443313876302	15.120733581057332	-37.903280755106984	9.130679525718637	-3.133306163331218	-16.785173811662247	-15.215229480274617	True
1	2.833562333131047	38.2945441168956	-94.94050760470839	20.940782000163928	-5.55872601352794	-41.263907501176874	-38.430345168045825	True
2	6.163971213697389	38.95031180607782	-102.91602839335842	24.720750342827223	-6.023707329075549	-45.26867357352881	-39.10470235983142	True
0	6.0331124001168535	38.91959829032885	-102.54059679477362	24.47429686052051	-5.96627186464978	-45.11297350857413	-39.07986110845727	True
1	9.682545747459367	39.60240739653134	-111.2712341973669	28.62490942909963	-6.426810870774872	-49.470728242510546	-39.78818249505118	True
0	13.439527889904605	40.242231389547015	-120.10205120643089	32.78961733143904	-6.832355716311172	-53.90255820175624	-40.46303031185164	True
2	3.5637228831571157	54.99423633131899	-136.5936387984643	29.969570655349138	-7.106298824709653	-58.73613063650561	-55.172407753348494	True
1	7.5344385768824065	55.619760017060415	-145.7718812358845	34.30182895388138	-7.515066339087653	-63.365358604030135	-55.83092002714773	True
0	11.904528974062835	56.26092815933029	-155.82688727863479	39.09422617332672	-7.943290611976145	-68.41502355795404	-56.51049458389121	True
1	4.323917275945541	75.43510918679715	-187.95818107727573	41.30824472680772	-8.793569180724738	-80.00839634439544	-75.68447906844989	True
0	9.088293769139284	76.08631593430033	-198.88499965612036	46.560562259762115	-9.231418692017181	-85.46954015407469	-76.38124638493541	True
0	5.09973315759548	100.06276524191482	-250.30994180233404	55.46276563716556	-10.710617772077956	-105.4950286953318	-100.39529553773632	True
0	9.998197130623744	289.82977975604734	-711.7381141845841	142.85840611079914	-21.406205019448112	-300.45613333718507	-290.4579362065613	True
2	10.212094570318008	289.8208945801848	-712.0627956042729	143.02232488957603	-21.424624182513305	-300.6442003170257	-290.4321057467077	True
1	15.63535846151887	290.4423437786026	-724.2335065239271	148.88684437234258	-21.807475566446367	-306.71179393942754	-291.07643547790866	True
0	21.295366119360484	291.0640641898222	-736.8762183935722	154.99077028128596	-22.195169066226725	-313.0165529886914	-291.7211868693309	True
1	11.444334003933337	341.71603151418293	-837.4491110066325	165.7053015608526	-23.765231995029744	-353.7930099266284	-342.348675922695	True
0	17.599057159280374	342.3422815164683	-851.0704451139001	172.29671367563932	-24.15060925430834	-360.58205917610326	-342.98300201682287	True
0	12.913708130734527	398.6031817177148	-975.3834634000813	190.85810226380642	-26.219705883825	-412.1418853023876	-399.2281771716531	True
0	7.028255630674903	460.02610661436955	-1109.9333785566844	210.6523504886206	-28.40164309611344	-467.6565645498065	-460.6283089191316	True
0	1.7174510822989766	14.845139121345536	-37.84524285400373	9.953409961542551	-3.625952588971205	-16.672646360086834	-14.955195277787857	True
0	9.12013423474742	106.99298918310946	-276.0810213727238	64.90598036420269	-12.289955315895543	-116.47200714130706	-107.35187290655963	True
0	24.56251473380951	76.8501558676107	-228.4058061904438	61.120100871919796	-11.378528407467916	-101.81407785838121	-77.2515631245717	True
0	33.321137738070135	78.11185047485894	-248.36313690337948	70.6066362181605	-12.17713192200453	-111.82178213236425	-78.50064439429411	True
0	42.26437395740087	79.31962067232502	-268.7008036941117	80.35102342199252	-12.965208316206148	-121.9953679159998	-79.73099395859893	True
1	19.585356401124784	92.48474693276434	-255.85544727270505	63.23205852803448	-12.086241961339816	-112.22488377324606	-92.63952737212128	True
0	23.515815058573423	92.88471497155159	-264.9924471945116	67.71072970454533	-12.465692123103214	-116.86269464151832	-93.3468795829449	True
0	22.080868372968 	112.77248742595157	-310.2916227630264	75.94620910194696	-13.742338388730225	-135.31526462385844	-113.23439625089044	True
